title,author,book_url,date_pub,date_finished_parsed,date_started_parsed,num_pages,my_rating,review,shelves,progress_json
"Todo arde (Todo arde, #1; Universo reina roja, #6)","Gómez-Jurado, Juan",https://www.goodreads.com/book/show/61231967-todo-arde,"Oct 18, 2022",2024-03-02,2024-01-27,592,3,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 27, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""March 2, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Un amor,"Mesa, Sara",https://www.goodreads.com/book/show/55170929-un-amor,"Sep 02, 2020",2024-01-20,2024-01-07,143,5,"Un Amor es un libro sobre luchar contra la corriente. Sobre querer que la vida te ocurra de cierta manera, y que, en realidad, los eventos te lleven e Un Amor es un libro sobre luchar contra la corriente. Sobre querer que la vida te ocurra de cierta manera, y que, en realidad, los eventos te lleven en otra dirección. Sobre las apariencias. Sobre pasar de ellas. Sobre la gente… Qué bonito. Y qué duro al mismo tiempo. Lo he terminado con el corazón encogido. ...more",read,"[{""date"":""August 3, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 3, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""January 7, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 7, 2024"",""page"":70,""percent"":48.95,""event"":null},{""date"":""January 17, 2024"",""page"":153,""percent"":100,""event"":null},{""date"":""January 20, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Las voces de Adriana,"Navarro, Elvira",https://www.goodreads.com/book/show/63914451-las-voces-de-adriana,2023,2024-01-06,2023-12-22,142,3,NA,read,"[{""date"":""December 22, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 6, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 6, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Lo que me queda por vivir,"Lindo, Elvira",https://www.goodreads.com/book/show/9434444-lo-que-me-queda-por-vivir,"Sep 03, 2010",2023-12-16,2023-09-20,272,4,NA,read,"[{""date"":""September 20, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 16, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 16, 2023"",""page"":null,""percent"":null,""event"":""finished""}]"
No todo el mundo,"Jiménez Serrano, Marta",https://www.goodreads.com/book/show/123161020-no-todo-el-mundo,"Mar 13, 2023",2023-09-17,2023-08-20,212,3,"Serie de relatos que hablan de las relaciones personales y del miedo o la necesidad de conectar con otras personas. Algunos, me han parecido enternece Serie de relatos que hablan de las relaciones personales y del miedo o la necesidad de conectar con otras personas. Algunos, me han parecido enternecedores. Otros, incómodos o dolorosos de leer. Hay otros que no me han llegado a remover. En general, es una buena recopilación de cuentos sobre las ilusiones, los desengaños y las relaciones. ...more",read,"[{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 20, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 17, 2023"",""page"":null,""percent"":null,""event"":""finished""}]"
La educación física,"Villajos, Rosario",https://www.goodreads.com/book/show/122820753-la-educaci-n-f-sica,unknown,2023-08-16,2023-08-15,235,5,"**spoiler alert** Quería terminar el libro y, al mismo tiempo, temía leer el final. Está brillantemente escrito. Cada página aumenta tu sentimiento de **spoiler alert** Quería terminar el libro y, al mismo tiempo, temía leer el final. Está brillantemente escrito. Cada página aumenta tu sentimiento de angustia, como si fuera una olla a presión a punto de explotar.El libro describe cómo ve el mundo una niña de 16 años que debe volver a casa antes de las 10 de la noche. La autora consigue que sus palabras, inocentes en principio, vayan descubriendo las agresiones de las que ella y las mujeres a su alrededor son víctimas. Es el retrato de una sociedad que, en vez de proteger a sus niñas, las hace culpables de la violencia hacia ellas. ...more",read; left-a-mark,"[{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 15, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 16, 2023"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
Todo va a mejorar,"Grandes, Almudena",https://www.goodreads.com/book/show/61940289-todo-va-a-mejorar,"Oct 11, 2022",2023-07-29,2023-07-16,512,5,"Soy una gran fan de Almudena Grandes. Tiene una manera de describir la vida diaria, la rutina de las pequeñas cosas, de una manera única. Me dio repar Soy una gran fan de Almudena Grandes. Tiene una manera de describir la vida diaria, la rutina de las pequeñas cosas, de una manera única. Me dio reparo leerme este libro por ser el último que escribió. Me llena de mucha tristeza pensar que no volverá a hacernos disfrutar de sus historias.“Todo va a Mejorar” es distinto a los libros que Grandes solía escribir, o al menos a los que he leído de ella. Habla de un futuro distópico. Y aún así es una historia de una marcada actualidad que habla de lo fácil que es caer en autoritarismos, de lo débil que es la democracia, y de lo importante que es mantener la esperanza y querer cambiar las cosas a mejor. Si sus “Episodios de Guerra” hablan de lo que pasó, “Todo va a mejorar” habla de lo que podría pasar. ...more",read,"[{""date"":""July 16, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 16, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 29, 2023"",""page"":null,""percent"":null,""event"":""finished""}]"
Matrioskas,"Carnicero Hernanz, Marta",https://www.goodreads.com/book/show/123222167-matrioskas,unknown,2023-07-11,2023-06-07,192,5,"Que libro tan bonito y tan lleno de dolor. Lo compré tras escuchar una recomendación en la radio, pero sin saber de que iba y me ha sorprendido. Te va Que libro tan bonito y tan lleno de dolor. Lo compré tras escuchar una recomendación en la radio, pero sin saber de que iba y me ha sorprendido. Te va metiendo poco a poco en la historia de estas dos mujeres con mucho cuidado y delicadeza. Me ha encantado. ...more",read; left-a-mark,"[{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 7, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 11, 2023"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
"Cuerpos (Bilogía Cuerpos y almas, #1)","Casquet, Noemí",https://www.goodreads.com/book/show/58888618-cuerpos,"Oct 07, 2021",2023-06-08,2023-04-01,352,2,NA,read,"[{""date"":""April 1, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 7, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 8, 2023"",""page"":null,""percent"":null,""event"":""finished""}]"
Sira,"Dueñas, María",https://www.goodreads.com/book/show/56857924-sira,"Apr 14, 2021",2023-04-08,2022-12-01,648,3,NA,read,"[{""date"":""December 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 8, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 8, 2023"",""page"":null,""percent"":null,""event"":""finished""}]"
"La madre de Frankenstein (Episodios de una guerra interminable, #5)","Grandes, Almudena",https://www.goodreads.com/book/show/22019282-la-madre-de-frankenstein,"Feb 04, 2020",2022-11-15,2022-08-15,560,5,NA,read,"[{""date"":""August 15, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""November 15, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""November 15, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
"Los muertos viajan deprisa (Valentina Negro y Javier Sanjuán, #4)","Abarca, Nieves",https://www.goodreads.com/book/show/28787190-los-muertos-viajan-deprisa,unknown,2022-09-23,2022-08-18,448,3,NA,read,"[{""date"":""August 18, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 23, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 23, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
La señora March,"Feito, Virginia",https://www.goodreads.com/book/show/59551496-la-se-ora-march,"Aug 05, 2021",2022-08-09,2022-08-01,328,3,NA,read,"[{""date"":""August 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 9, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 9, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
Puerto escondido,"Oruña, María",https://www.goodreads.com/book/show/39805453-puerto-escondido,"Sep 08, 2015",2022-07-31,2022-07-28,430,3,NA,read,"[{""date"":""July 28, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 31, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 31, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
Como polvo en el viento,"Padura Fuentes, Leonardo",https://www.goodreads.com/book/show/54788896-como-polvo-en-el-viento,"Aug 25, 2020",2022-07-25,2022-06-29,672,5,NA,read; left-a-mark,"[{""date"":""June 29, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 25, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 25, 2022"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
Cartas desde Dubai,"López, Asunta",https://www.goodreads.com/book/show/39787233-cartas-desde-dubai,unknown,2022-06-27,2022-06-18,352,3,NA,read,"[{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 27, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 27, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
El hijo del chófer,"Amat, Jordi",https://www.goodreads.com/book/show/61058142-el-hijo-del-ch-fer,2022,2022-06-18,2022-06-12,256,5,NA,read,"[{""date"":""June 12, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
El bosque de los cuatro vientos,"Oruña, María",https://www.goodreads.com/book/show/51827486-el-bosque-de-los-cuatro-vientos,"Aug 25, 2020",2022-06-11,2022-06-05,416,3,NA,read,"[{""date"":""June 5, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 11, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 11, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
El reino,"Nesbø, Jo",https://www.goodreads.com/book/show/57685669-el-reino,"Aug 27, 2020",2022-04-17,2022-04-01,624,3,NA,read,"[{""date"":""April 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 17, 2022"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""April 18, 2022"",""page"":null,""percent"":null,""event"":""shelved""}]"
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","Kolk, Bessel van der",https://www.goodreads.com/book/show/18693771-the-body-keeps-the-score,"Jun 12, 2014",2022-04-16,2021-12-09,464,4,NA,read; left-a-mark,"[{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 16, 2022"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
"Witches Abroad (Discworld, #12; Witches, #3)","Pratchett, Terry",https://www.goodreads.com/book/show/2442.Witches_Abroad,1991,2022-02-22,2022-02-01,374,4,NA,read,"[{""date"":""February 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""February 22, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""February 22, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
"Beautiful World, Where Are You","Rooney, Sally",https://www.goodreads.com/book/show/56597885-beautiful-world-where-are-you,"Sep 07, 2021",2022-01-25,2022-01-15,356,5,NA,read,"[{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 15, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 25, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
"Equal Rites (Discworld, #3)","Pratchett, Terry",https://www.goodreads.com/book/show/349286.Equal_Rites,"Jan 15, 1987",2022-01-07,2022-01-05,288,4,NA,read,"[{""date"":""January 5, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 5, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 5, 2022"",""page"":223,""percent"":77.43,""event"":null},{""date"":""January 7, 2022"",""page"":null,""percent"":null,""event"":""finished""}]"
Data Feminism,"D’Ignazio, Catherine",https://www.goodreads.com/book/show/51777543-data-feminism,"Mar 17, 2020",2021-12-09,2020-09-16,328,4,NA,read; current-affairs-non-fiction,"[{""date"":""September 16, 2020"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 16, 2020"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 27, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
Made in Spain: Cómo un país cambió mi forma de ver la vida,"Rhodes, James",https://www.goodreads.com/book/show/57400640-made-in-spain,"Apr 08, 2021",2021-08-31,2021-08-01,320,4,NA,read,"[{""date"":""August 1, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 3, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 31, 2021"",""page"":null,""percent"":null,""event"":""finished""}]"
Fugas. O la ansiedad de sentirse vivo,"Rhodes, James",https://www.goodreads.com/book/show/36528667-fugas-o-la-ansiedad-de-sentirse-vivo,"Jan 11, 2018",2021-07-30,2021-07-01,278,4,NA,read,"[{""date"":""July 1, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 4, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 30, 2021"",""page"":null,""percent"":null,""event"":""finished""}]"
"Instrumental: A Memoir of Madness, Medication and Music","Rhodes, James",https://www.goodreads.com/book/show/21896497-instrumental,"May 28, 2015",2021-07-01,2021-06-01,304,4,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""July 2, 2021"",""page"":null,""percent"":null,""event"":""shelved""}]"
Our Iceberg Is Melting: Changing and Succeeding Under Any Conditions,"Kotter, John P.",https://www.goodreads.com/book/show/36232506-our-iceberg-is-melting,2005,2021-04-01,2021-03-01,176,3,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":""March 25, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""}]"
La ridícula idea de no volver a verte,"Montero, Rosa",https://www.goodreads.com/book/show/17567272-la-rid-cula-idea-de-no-volver-a-verte,2013,2021-04-01,2021-02-21,240,4,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""February 21, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""}]"
El consentimiento,"Springora, Vanessa",https://www.goodreads.com/book/show/55151846-el-consentimiento,"Jan 02, 2020",2021-03-01,2021-02-01,200,5,NA,read,"[{""date"":""January 16, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""}]"
Cicatriz,"Gómez-Jurado, Juan",https://www.goodreads.com/book/show/27420709-cicatriz,"Nov 18, 2015",2020-09-16,2020-08-28,576,3,NA,read,"[{""date"":""August 28, 2020"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 28, 2020"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 16, 2020"",""page"":null,""percent"":null,""event"":""finished""}]"
"Generative Design: Visualize, Program, and Create with JavaScript in p5.js","Groß, Benedikt",https://www.goodreads.com/book/show/38743103-generative-design,unknown,2020-06-01,2020-01-01,255,5,NA,read; information-design,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved""}]"
4 3 2 1,"Auster, Paul",https://www.goodreads.com/book/show/30244626-4-3-2-1,"Jan 31, 2017",2020-05-24,2020-03-24,866,5,NA,read; left-a-mark,"[{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""March 24, 2020"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 24, 2020"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
Invisible Women: Exposing Data Bias in a World Designed for Men,"Criado Pérez, Caroline",https://www.goodreads.com/book/show/40957778-invisible-women,"Mar 07, 2019",2019-09-22,2019-04-27,432,5,NA,read; current-affairs-non-fiction; left-a-mark,"[{""date"":""April 27, 2019"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 27, 2019"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 27, 2019"",""page"":16,""percent"":3.7,""event"":null},{""date"":""September 22, 2019"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 27, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
The Forgotten Garden,"Morton, Kate",https://www.goodreads.com/book/show/6723017-the-forgotten-garden,"Jul 01, 2008",2017-05-28,2017-05-21,552,3,NA,read,"[{""date"":""May 21, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 21, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 28, 2017"",""page"":null,""percent"":null,""event"":""finished""}]"
Be Frank With Me,"Johnson, Julia Claiborne",https://www.goodreads.com/book/show/25817528-be-frank-with-me,"Feb 02, 2016",2017-05-21,2017-05-15,287,3,NA,read,"[{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 21, 2017"",""page"":null,""percent"":null,""event"":""finished""}]"
Charity Girl,"Lowenthal, Michael",https://www.goodreads.com/book/show/126136.Charity_Girl,"Jan 03, 2007",2017-04-18,2017-01-11,323,3,NA,read,"[{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 18, 2017"",""page"":null,""percent"":null,""event"":""finished""}]"
The Nature and Art of Motion,"Kepes, Gyorgy",https://www.goodreads.com/book/show/15999235-the-nature-and-art-of-motion,"Jan 01, 1965",2017-04-18,2017-01-11,195,4,NA,read,"[{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 18, 2017"",""page"":null,""percent"":null,""event"":""finished""}]"
"The Witching Hour (Lives of the Mayfair Witches, #1)","Rice, Anne",https://www.goodreads.com/book/show/11901.The_Witching_Hour,"Oct 01, 1990",2016-08-14,2016-01-09,1,3,NA,read,"[{""date"":""January 9, 2016"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 9, 2016"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 9, 2016"",""page"":269,""percent"":22.12,""event"":null},{""date"":""August 14, 2016"",""page"":null,""percent"":null,""event"":""finished""}]"
Information Anxiety 2,"Wurman, Richard Saul",https://www.goodreads.com/book/show/259121.Information_Anxiety_2,"Dec 28, 2000",2015-12-19,2015-09-10,308,2,NA,read; information-design,"[{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
A Type Primer,"Kane, John",https://www.goodreads.com/book/show/1301883.A_Type_Primer,"Sep 22, 2002",2015-12-19,2015-09-26,NA,5,NA,read; typography,"[{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
"Diagrams: A visual survey of graphs, maps, charts and diagrams for the graphic designer","Lockwood, Arthur",https://www.goodreads.com/book/show/4003936-diagrams,"Jun 01, 1969",2015-12-19,2015-09-10,144,5,NA,read; information-design,"[{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
Inside Paragraphs: typographic fundamentals,"Highsmith, Cyrus",https://www.goodreads.com/book/show/15772292-inside-paragraphs,2012,2015-12-19,2015-09-26,102,3,NA,read; typography,"[{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
"Muerte en Estambul (Kostas Jaritos, #5)","Markaris, Petros",https://www.goodreads.com/book/show/10501729-muerte-en-estambul,2008,2015-12-01,2015-10-02,241,4,NA,read,"[{""date"":""October 2, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 2, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 1, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
La barraca,"Blasco Ibáñez, Vicente",https://www.goodreads.com/book/show/729686.La_barraca,1898,2015-09-26,2014-09-25,124,NA,NA,read,"[{""date"":""September 25, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 25, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
El vals lento de las tortugas,"Pancol, Katherine",https://www.goodreads.com/book/show/11312207-el-vals-lento-de-las-tortugas,2008,2015-08-09,2015-08-05,634,3,NA,read,"[{""date"":""August 5, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 5, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 9, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
"Irène (Camille Verhœven, #1)","Lemaitre, Pierre",https://www.goodreads.com/book/show/19480636-ir-ne,"Jun 07, 2006",2015-08-02,2015-08-01,398,4,NA,read,"[{""date"":""August 1, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 1, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 2, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
La luz de Candela,"Carrillo, Mónica",https://www.goodreads.com/book/show/21871233-la-luz-de-candela,"Jan 01, 2014",2015-08-01,2015-07-31,229,3,NA,read,"[{""date"":""July 31, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 31, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 1, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
El lector de Julio Verne (Episodios de una guerra interminable #2),"Grandes, Almudena",https://www.goodreads.com/book/show/13519707-el-lector-de-julio-verne,2012,2015-06-30,2015-06-25,417,4,NA,read,"[{""date"":""June 25, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 25, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 30, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
"Las tres bodas de Manolita (Episodios de una guerra interminable, #3)","Grandes, Almudena",https://www.goodreads.com/book/show/20623749-las-tres-bodas-de-manolita,2013,2015-06-24,2015-06-17,768,5,NA,read; left-a-mark,"[{""date"":""June 17, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 17, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 24, 2015"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]"
Persuasion,"Austen, Jane",https://www.goodreads.com/book/show/2156.Persuasion,"Dec 20, 1817",2015-06-02,2015-05-26,249,4,NA,read,"[{""date"":""January 19, 2012"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 26, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 2, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
Hamlet,"Shakespeare, William",https://www.goodreads.com/book/show/1420.Hamlet,1601,2015-05-20,2015-05-11,289,4,NA,read,"[{""date"":""May 11, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 11, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 20, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
¡Muuu!,"Safier, David",https://www.goodreads.com/book/show/18662595-muuu,2012,2015-05-10,2015-05-05,328,2,NA,read,"[{""date"":""May 5, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 5, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 10, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
Pride and Prejudice,"Austen, Jane",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,"Jan 01, 1813",2015-04-28,2015-04-25,279,3,NA,read,"[{""date"":""January 19, 2012"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 25, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 28, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
"Dragonfly in Amber (Outlander, #2)","Gabaldon, Diana",https://www.goodreads.com/book/show/5364.Dragonfly_in_Amber,"Jul 01, 1992",2015-01-06,2014-12-17,947,2,NA,read,"[{""date"":""December 17, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 17, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 6, 2015"",""page"":null,""percent"":null,""event"":""finished""}]"
"Outlander (Outlander, #1)","Gabaldon, Diana",https://www.goodreads.com/book/show/10964.Outlander,"Jun 01, 1991",2014-12-17,2014-12-15,850,3,NA,read,"[{""date"":""December 15, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 15, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 17, 2014"",""page"":null,""percent"":null,""event"":""finished""}]"
Crónica de una muerte anunciada,"García Márquez, Gabriel",https://www.goodreads.com/book/show/216599.Cr_nica_de_una_muerte_anunciada,1981,2014-11-04,2014-10-31,125,5,NA,read,"[{""date"":""October 31, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 31, 2014"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""October 31, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""November 4, 2014"",""page"":null,""percent"":null,""event"":""finished""}]"
