title,author,book_url,date_pub,date_finished,date_started,num_pages,my_rating,review,shelves,progress_json,genres,language
Obra maestra,"Tallón, Juan",https://www.goodreads.com/book/show/60109963-obra-maestra,"Feb 02, 2022","Aug 03, 2025","Jun 20, 2025",328,3,"Creo que en realidad le daría 3.5. Hay momentos brillantes y otros en los que me costaba seguir el relato. Los capítulos en los que Juan Tallón explic Creo que en realidad le daría 3.5. Hay momentos brillantes y otros en los que me costaba seguir el relato. Los capítulos en los que Juan Tallón explica como llegó a interesarse por la historia y a conseguir la causa judicial (para mí el mejor capítulo) me parecen geniales y muy interesantes. Tal vez ahí está la brillantez de esta novela, que cada capítulo te muestra fragmentos diferentes de este gran misterio ...more",read,"[{""date"":""March 28, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 28, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""June 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 14, 2025"",""page"":62,""percent"":18.9,""event"":null},{""date"":""July 20, 2025"",""page"":97,""percent"":29.57,""event"":null},{""date"":""July 25, 2025"",""page"":134,""percent"":40.85,""event"":null},{""date"":""July 25, 2025"",""page"":null,""percent"":60,""event"":null},{""date"":""July 26, 2025"",""page"":null,""percent"":68,""event"":null},{""date"":""July 27, 2025"",""page"":null,""percent"":81,""event"":null},{""date"":""August 3, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Art; Fiction; Spain; Spanish Literature,Spanish; Castilian
La nostalgia de la Mujer Anfibio,"Sánchez-Andrade, Cristina",https://www.goodreads.com/book/show/59751587-la-nostalgia-de-la-mujer-anfibio,"Jan 19, 2022","Jun 19, 2025","Jun 05, 2025",272,4,NA,read; club-de-lectura,"[{""date"":""June 5, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 5, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 9, 2025"",""page"":65,""percent"":23.9,""event"":null},{""date"":""June 9, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""June 10, 2025"",""page"":90,""percent"":33.09,""event"":null},{""date"":""June 19, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Spain; Fiction; Womens; Contemporary,Spanish; Castilian
Chamanes eléctricos en la fiesta del sol,"Ojeda, Mónica",https://www.goodreads.com/book/show/202633889-chamanes-el-ctricos-en-la-fiesta-del-sol,"Feb 08, 2024","May 30, 2025","May 17, 2025",288,3,NA,read; club-de-lectura,"[{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""May 18, 2025"",""page"":114,""percent"":39.58,""event"":null},{""date"":""May 30, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Horror; Fiction; Spanish Literature; Fantasy; Novels; Womens; Latin American; ...more,Spanish; Castilian
Imposible decir adiós,"Han, Kang",https://www.goodreads.com/book/show/220500564-imposible-decir-adi-s,"Sep 09, 2021","May 10, 2025","Apr 20, 2025",252,5,"No sabría muy bien cómo resumir este libro. Los capítulos finales lo transforman y ya no es sólo la historia de dos personas, es la historia de la mas No sabría muy bien cómo resumir este libro. Los capítulos finales lo transforman y ya no es sólo la historia de dos personas, es la historia de la masacre de la isla de Jeju y del impacto que tiene en los supervivientes el no saber qué pasó o dónde están los restos de sus familiares. No conocía esta parte de la historia de Corea, pero creo que muchos se pueden sentir identificados con esa agonía. La escritura de Han Kang es meticulosa y detallista. ...more",read,"[{""date"":""April 20, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 20, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 20, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 20, 2025"",""page"":72,""percent"":28.57,""event"":null},{""date"":""April 20, 2025"",""page"":98,""percent"":38.89,""event"":null},{""date"":""May 2, 2025"",""page"":182,""percent"":72.22,""event"":null},{""date"":""May 10, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Historical Fiction; Literary Fiction; Asia; Audiobook; Historical; Contemporary; ...more,Spanish; Castilian
A Room of One’s Own,"Woolf, Virginia",https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,"Oct 24, 1929","Apr 19, 2025","Apr 06, 2025",112,3,NA,read; club-de-lectura,"[{""date"":""April 6, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 6, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 19, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Classics; Nonfiction; Feminism; Essays; Philosophy; Writing; Literature; ...more,English
El descontento,"Serrano, Beatriz",https://www.goodreads.com/book/show/184213307-el-descontento,"Oct 04, 2023","Mar 15, 2025",Mar 2025,240,3,"Es una novela corta y divertida. Habla de la rutina, de odiar nuestro trabajo y, sobre todo, de la soledad. Creo que todos de alguna manera podemos ve Es una novela corta y divertida. Habla de la rutina, de odiar nuestro trabajo y, sobre todo, de la soledad. Creo que todos de alguna manera podemos vernos reflejados en Marisa: en el miedo que tiene de mostrarse tal y como es -sobre todo en un contexto laboral-; en el hartazgo del aburrimiento; en la desesperanza de no encontrar esa chispa -esas personas- que haga que el día merezca la pena. ...more",read; club-de-lectura,"[{""date"":""October 30, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""October 30, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 1, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""March 14, 2025"",""page"":147,""percent"":61.25,""event"":null},{""date"":""March 15, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Fiction; Contemporary; Audiobook; Literary Fiction; Humor; Spain; Spanish Literature; ...more,Spanish; Castilian
Temporada de huracanes,"Melchor, Fernanda",https://www.goodreads.com/book/show/34847511-temporada-de-huracanes,"May 12, 2017","Feb 22, 2025","Feb 15, 2025",224,4,"Es un libro excepcionalmente bien escrito que consigue meterte en la cabeza de todos sus personajes. Sin embargo, su historia es horrorosa. Amarga. Os Es un libro excepcionalmente bien escrito que consigue meterte en la cabeza de todos sus personajes. Sin embargo, su historia es horrorosa. Amarga. Oscura. Te lleva de miseria en miseria. Hay momentos en los que te gustaría apartar la mirada, aunque el narrador nunca juzgue las acciones de sus protagonistas. ...more",read; club-de-lectura,"[{""date"":""February 15, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""February 15, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""February 19, 2025"",""page"":118,""percent"":52.68,""event"":null},{""date"":""February 22, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Fiction; Horror; Contemporary; Mystery; Literary Fiction; Spanish Literature; Crime; ...more,Spanish; Castilian
La vegetariana,"Han, Kang",https://www.goodreads.com/book/show/34593278-la-vegetariana,"Oct 30, 2007","Jan 16, 2025","Jan 05, 2025",240,5,"He leído el libro con una mezcla de emociones. El texto es bellísimo, las palabras cuidadas y casi poéticas. Y, sin embargo, el contenido -las imágene He leído el libro con una mezcla de emociones. El texto es bellísimo, las palabras cuidadas y casi poéticas. Y, sin embargo, el contenido -las imágenes que describe- son horribles y profundamente hirientes y duras. He terminado el libro con el corazón en un puño. ...more",read; club-de-lectura; left-a-mark,"[{""date"":""January 5, 2025"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 5, 2025"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 12, 2025"",""page"":90,""percent"":37.5,""event"":null},{""date"":""January 16, 2025"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""May 17, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Fiction; Horror; Contemporary; Literary Fiction; Book Club; Asia; Audiobook; ...more,Spanish; Castilian
Intermezzo,"Rooney, Sally",https://www.goodreads.com/book/show/208931300-intermezzo,"Sep 24, 2024","Jan 05, 2025","Dec 04, 2024",464,4,"A book about the difficulties of expressing our feelings, maturing, and the challenges of supporting our loved ones when they’re going through tough t A book about the difficulties of expressing our feelings, maturing, and the challenges of supporting our loved ones when they’re going through tough times. I really enjoyed reading about Peter and Ivan’s journeys—from misunderstanding each other to learning where both of them are coming from. It was a beautiful read. ...more",read,"[{""date"":""September 12, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 12, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 4, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 21, 2024"",""page"":150,""percent"":32.33,""event"":null},{""date"":""December 25, 2024"",""page"":234,""percent"":50.43,""event"":null},{""date"":""December 29, 2024"",""page"":325,""percent"":70.04,""event"":null},{""date"":""January 5, 2025"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Contemporary; Literary Fiction; Book Club; Romance; Audiobook; Ireland; ...more,English
"The Golden Enclaves (The Scholomance, #3)","Novik, Naomi",https://www.goodreads.com/book/show/55858638-the-golden-enclaves,"Sep 27, 2022","Nov 25, 2024","Oct 22, 2024",407,4,"It had been a while since I had so much fun reading a series. What I like the most is the underlying social criticism to our current society. It’s not It had been a while since I had so much fun reading a series. What I like the most is the underlying social criticism to our current society. It’s not that obvious if you don’t want to see it, but it’s definitely there. I’ll miss El and her sarcasm and idealism ...more",read,"[{""date"":""October 22, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 22, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""November 25, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Young Adult; Fiction; Dark Academia; Audiobook; Magic; Urban Fantasy; ...more,English
"The Last Graduate (The Scholomance, #2)","Novik, Naomi",https://www.goodreads.com/book/show/55559887-the-last-graduate,"Sep 28, 2021","Oct 22, 2024","Oct 17, 2024",388,4,NA,read,"[{""date"":""October 17, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 17, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""October 22, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Young Adult; Fiction; Dark Academia; Audiobook; Magic; Romance; ...more,English
"A Deadly Education (The Scholomance, #1)","Novik, Naomi",https://www.goodreads.com/book/show/50548197-a-deadly-education,"Sep 29, 2020","Oct 17, 2024","Sep 30, 2024",320,4,"This book was funny, sarcastic and highly entertaining. El reminded me to the witches of Terry Pratchett’s Discworld. I can’t wait to keep reading the This book was funny, sarcastic and highly entertaining. El reminded me to the witches of Terry Pratchett’s Discworld. I can’t wait to keep reading the series. ...more",read,"[{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 30, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 17, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Dark Academia; Young Adult; Fiction; Magic; Audiobook; Horror; ...more,English
Abejas y truenos lejanos,"Onda, Riku",https://www.goodreads.com/book/show/141436531-abejas-y-truenos-lejanos,2016,"Sep 29, 2024","Aug 25, 2024",448,5,"Me ha encantado leer este libro. Qué forma de describir la música más bella.Igual que el chico es un regalo que inspira a otros a tocar, el libro te i Me ha encantado leer este libro. Qué forma de describir la música más bella.Igual que el chico es un regalo que inspira a otros a tocar, el libro te inspira a escuchar música clásica de otra manera: a viajar a prados, playas, ciudades o recuerdos.Me ha emocionado esta historia en la que los personajes no compiten, sino que comparten y se ayudan a avanzar porque el arte inspira a todos. Muy bonito y recomendable ...more",read,"[{""date"":""August 25, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 25, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 14, 2024"",""page"":166,""percent"":37.05,""event"":null},{""date"":""September 15, 2024"",""page"":230,""percent"":51.34,""event"":null},{""date"":""September 22, 2024"",""page"":285,""percent"":63.62,""event"":null},{""date"":""September 29, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Japan; Contemporary; Japanese Literature; Music; Asian Literature; Literary Fiction; ...more,Spanish; Castilian
A Little Life,"Yanagihara, Hanya",https://www.goodreads.com/book/show/22822858-a-little-life,"Mar 10, 2015","Aug 24, 2024","Aug 11, 2024",720,5,"I’m torn between giving it four or five stars. But the last chapter moved me so much that I ultimately give in. The book is beautifully written. It’s I’m torn between giving it four or five stars. But the last chapter moved me so much that I ultimately give in. The book is beautifully written. It’s delicate at the beginning, not providing much information about Jude’s story but giving enough details for you to guess the trauma hidden in his secrets. It’s a very heavy and challenging read. I had to stop reading at times because I could predict what was about to happen, and some of the descriptions were too intense. I feel like Hanya Yanagihara pushes Jude way too far. Some parts of his story are not needed for him to be fully traumatized and grow into the man he is later on.However, besides that, it’s a beautiful story of how friendship and love can heal people - but only if they want to be healed. ...more",read,"[{""date"":""September 4, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""September 4, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 11, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 14, 2024"",""page"":85,""percent"":11.81,""event"":null},{""date"":""August 15, 2024"",""page"":150,""percent"":20.83,""event"":null},{""date"":""August 17, 2024"",""page"":236,""percent"":32.78,""event"":null},{""date"":""August 20, 2024"",""page"":377,""percent"":52.36,""event"":null},{""date"":""August 22, 2024"",""page"":537,""percent"":74.58,""event"":null},{""date"":""August 24, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Contemporary; Literary Fiction; LGBT; Queer; Book Club; Mental Health; ...more,English
"Almas (Bilogía Cuerpos y Almas, #2)","Casquet, Noemí",https://www.goodreads.com/book/show/59409252-almas,"Nov 04, 2021","Aug 11, 2024","Jul 25, 2024",352,2,NA,read,"[{""date"":""July 25, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 25, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 25, 2024"",""page"":55,""percent"":15.63,""event"":null},{""date"":""August 11, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction,Spanish; Castilian
"Todo vuelve (Todo arde, #2; Universo reina roja, #7)","Gómez-Jurado, Juan",https://www.goodreads.com/book/show/181111705-todo-vuelve,"Oct 24, 2023","Jul 25, 2024","Jul 14, 2024",598,3,NA,read,"[{""date"":""July 14, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 14, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 25, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Thriller; Audiobook; Crime; Spanish Literature; Suspense; Fiction; Ebooks; ...more,Spanish; Castilian
Normal People,"Rooney, Sally",https://www.goodreads.com/book/show/41057294-normal-people,"Aug 28, 2018","Jun 15, 2024","Jun 02, 2024",273,4,"Vi la serie Normal People hace años y me encantó. Me daba miedo leer el libro y que esa experiencia cambiara como veo a los personajes, pero el libro Vi la serie Normal People hace años y me encantó. Me daba miedo leer el libro y que esa experiencia cambiara como veo a los personajes, pero el libro no defrauda. Las descripciones de Marianne y Connell son delicadas y al mismo tiempo llenas de significados. Qué bonito ver como dos personas se aman y cambian juntas, y en la distancia.No le pongo cinco estrellas porque la traducción tiene algunos errores. He leído a Sally Rooney en inglés y su prosa es increíble. En castellano sonaba algo forzada ...more",read,"[{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 2, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 15, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Romance; Contemporary; Literary Fiction; Audiobook; Book Club; Ireland; ...more,English
Quebrada,"Travacio, Mariana",https://www.goodreads.com/book/show/60424616-quebrada,"Feb 21, 2022","May 27, 2024","May 06, 2024",166,3,NA,read,"[{""date"":""September 3, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""September 3, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 6, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 19, 2024"",""page"":132,""percent"":79.52,""event"":null},{""date"":""May 27, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Literary Fiction; Westerns; Drama; Spanish Literature; Nature; Literature; ...more,Spanish; Castilian
Our Wives Under the Sea,"Armfield, Julia",https://www.goodreads.com/book/show/58659343-our-wives-under-the-sea,"Mar 03, 2022","May 05, 2024","Apr 17, 2024",240,4,"I really liked how the anguish and anxiety kept growing as the story developed. It’s interesting how both stories (Miri’s and Leah’s) can both feel re I really liked how the anguish and anxiety kept growing as the story developed. It’s interesting how both stories (Miri’s and Leah’s) can both feel really claustrophobic, even if they’re set in different settings (an ocean and a bathroom). ...more",read,"[{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 17, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 30, 2024"",""page"":137,""percent"":57.08,""event"":null},{""date"":""May 4, 2024"",""page"":188,""percent"":78.33,""event"":null},{""date"":""May 5, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Horror; Fiction; Queer; LGBT; Lesbian; Audiobook; Contemporary; ...more,English
Baumgartner,"Auster, Paul",https://www.goodreads.com/book/show/134899244-baumgartner,"Nov 07, 2023","Apr 27, 2024","Mar 24, 2024",208,4,"I’ve always loved Auster’s books. And this one is not different. I feel like Baumgartner talks about grieving -grieving the youth you had or the perso I’ve always loved Auster’s books. And this one is not different. I feel like Baumgartner talks about grieving -grieving the youth you had or the person you loved and is not with you anymore- along with keep on living and making peace with it all. It’s beautifully written, and has a funny sense of humor. As always with Auster, he plays with the lines between author and protagonist and what’s written as “the book” and what’s written as “fiction created by the characters”. ...more",read,"[{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""March 24, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 27, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Audiobook; Literary Fiction; Contemporary; The United States Of America; Americana; American; ...more,English
Piranesi,"Clarke, Susanna",https://www.goodreads.com/book/show/50202953-piranesi,"Sep 15, 2020","Mar 24, 2024","Mar 04, 2024",272,4,"I was confused and lost at the beginning. I tried to keep up with the time reflected in the book with no much luck. But as I accepted the disorientati I was confused and lost at the beginning. I tried to keep up with the time reflected in the book with no much luck. But as I accepted the disorientation (the laberynth), I became more and more interested in the protagonist, in the general beauty of the House, and in the story itself. It’s beautifully written ...more",read,"[{""date"":""January 13, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""January 13, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 4, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""March 24, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Fiction; Mystery; Magical Realism; Book Club; Mythology; Dark Academia; ...more,English
"Todo arde (Todo arde, #1; Universo reina roja, #6)","Gómez-Jurado, Juan",https://www.goodreads.com/book/show/61231967-todo-arde,"Oct 18, 2022","Mar 02, 2024","Jan 27, 2024",592,3,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 27, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""March 2, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Thriller; Audiobook; Fiction; Spanish Literature; Crime; Contemporary; Suspense; ...more,Spanish; Castilian
Un amor,"Mesa, Sara",https://www.goodreads.com/book/show/55170929-un-amor,"Sep 02, 2020","Jan 20, 2024","Jan 07, 2024",143,5,"Un Amor es un libro sobre luchar contra la corriente. Sobre querer que la vida te ocurra de cierta manera, y que, en realidad, los eventos te lleven e Un Amor es un libro sobre luchar contra la corriente. Sobre querer que la vida te ocurra de cierta manera, y que, en realidad, los eventos te lleven en otra dirección. Sobre las apariencias. Sobre pasar de ellas. Sobre la gente… Qué bonito. Y qué duro al mismo tiempo. Lo he terminado con el corazón encogido. ...more",read,"[{""date"":""August 3, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 3, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""January 7, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 7, 2024"",""page"":70,""percent"":48.95,""event"":null},{""date"":""January 17, 2024"",""page"":153,""percent"":100,""event"":null},{""date"":""January 20, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Spanish Literature; Spain; Drama; Contemporary; Womens; Novels; ...more,Spanish; Castilian
Las voces de Adriana,"Navarro, Elvira",https://www.goodreads.com/book/show/63914451-las-voces-de-adriana,2023,"Jan 06, 2024","Dec 22, 2023",142,3,NA,read,"[{""date"":""December 22, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 6, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 6, 2024"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Spanish Literature; Spain,Spanish; Castilian
Lo que me queda por vivir,"Lindo, Elvira",https://www.goodreads.com/book/show/9434444-lo-que-me-queda-por-vivir,"Sep 03, 2010","Dec 16, 2023","Sep 20, 2023",272,4,NA,read,"[{""date"":""September 20, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 16, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 16, 2023"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction,Spanish; Castilian
No todo el mundo,"Jiménez Serrano, Marta",https://www.goodreads.com/book/show/123161020-no-todo-el-mundo,"Mar 13, 2023","Sep 17, 2023","Aug 20, 2023",212,3,"Serie de relatos que hablan de las relaciones personales y del miedo o la necesidad de conectar con otras personas. Algunos, me han parecido enternece Serie de relatos que hablan de las relaciones personales y del miedo o la necesidad de conectar con otras personas. Algunos, me han parecido enternecedores. Otros, incómodos o dolorosos de leer. Hay otros que no me han llegado a remover. En general, es una buena recopilación de cuentos sobre las ilusiones, los desengaños y las relaciones. ...more",read,"[{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 20, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 17, 2023"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Short Stories; Romance; Spanish Literature; Womens; Audiobook; Novels; ...more,Spanish; Castilian
La educación física,"Villajos, Rosario",https://www.goodreads.com/book/show/122820753-la-educaci-n-f-sica,unknown,"Aug 16, 2023","Aug 15, 2023",235,5,"**spoiler alert** Quería terminar el libro y, al mismo tiempo, temía leer el final. Está brillantemente escrito. Cada página aumenta tu sentimiento de **spoiler alert** Quería terminar el libro y, al mismo tiempo, temía leer el final. Está brillantemente escrito. Cada página aumenta tu sentimiento de angustia, como si fuera una olla a presión a punto de explotar.El libro describe cómo ve el mundo una niña de 16 años que debe volver a casa antes de las 10 de la noche. La autora consigue que sus palabras, inocentes en principio, vayan descubriendo las agresiones de las que ella y las mujeres a su alrededor son víctimas. Es el retrato de una sociedad que, en vez de proteger a sus niñas, las hace culpables de la violencia hacia ellas. ...more",read; left-a-mark,"[{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 15, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 16, 2023"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Fiction; Spanish Literature; Feminism; Spain; Drama; Novels; Audiobook; ...more,Spanish; Castilian
Todo va a mejorar,"Grandes, Almudena",https://www.goodreads.com/book/show/61940289-todo-va-a-mejorar,"Oct 11, 2022","Jul 29, 2023","Jul 16, 2023",512,5,"Soy una gran fan de Almudena Grandes. Tiene una manera de describir la vida diaria, la rutina de las pequeñas cosas, de una manera única. Me dio repar Soy una gran fan de Almudena Grandes. Tiene una manera de describir la vida diaria, la rutina de las pequeñas cosas, de una manera única. Me dio reparo leerme este libro por ser el último que escribió. Me llena de mucha tristeza pensar que no volverá a hacernos disfrutar de sus historias.“Todo va a Mejorar” es distinto a los libros que Grandes solía escribir, o al menos a los que he leído de ella. Habla de un futuro distópico. Y aún así es una historia de una marcada actualidad que habla de lo fácil que es caer en autoritarismos, de lo débil que es la democracia, y de lo importante que es mantener la esperanza y querer cambiar las cosas a mejor. Si sus “Episodios de Guerra” hablan de lo que pasó, “Todo va a mejorar” habla de lo que podría pasar. ...more",read,"[{""date"":""July 16, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 16, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 29, 2023"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Spain; Spanish Literature; Audiobook; Drama; Novels; Contemporary; ...more,Spanish; Castilian
Matrioskas,"Carnicero Hernanz, Marta",https://www.goodreads.com/book/show/123222167-matrioskas,unknown,"Jul 11, 2023","Jun 07, 2023",192,5,"Que libro tan bonito y tan lleno de dolor. Lo compré tras escuchar una recomendación en la radio, pero sin saber de que iba y me ha sorprendido. Te va Que libro tan bonito y tan lleno de dolor. Lo compré tras escuchar una recomendación en la radio, pero sin saber de que iba y me ha sorprendido. Te va metiendo poco a poco en la historia de estas dos mujeres con mucho cuidado y delicadeza. Me ha encantado. ...more",read; left-a-mark,"[{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""April 9, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 7, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 11, 2023"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",NA,Spanish; Castilian
"Cuerpos (Bilogía Cuerpos y almas, #1)","Casquet, Noemí",https://www.goodreads.com/book/show/58888618-cuerpos,"Oct 07, 2021","Jun 08, 2023",Apr 2023,352,2,NA,read,"[{""date"":""April 1, 2023"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 7, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 8, 2023"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Romance,Spanish; Castilian
Sira,"Dueñas, María",https://www.goodreads.com/book/show/56857924-sira,"Apr 14, 2021","Apr 08, 2023",Dec 2022,648,3,NA,read,"[{""date"":""December 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 8, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 8, 2023"",""page"":null,""percent"":null,""event"":""finished""}]",Historical Fiction; Spanish Literature; Fiction; Romance; Spain; Audiobook; Drama; ...more,Spanish; Castilian
